playlist,description,track_id,title,release,plays,album,artist1,artist2,artist3,artist_id,popularity_track,genre1,genre2,genre3,artist_followers,explicit,duration,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Songs to Sing in the Car,Sing along and enjoy the drive...,364dI1bYnvamSnBJ8JcNzN,Intentions,2020-02-07,669986351,Intentions,Justin Bieber,Quavo,,1uNFoZAHBGtllmzznpCI3s,83,canadian pop,pop,post-teen pop,41222799,0,212869,0.811,0.553,9,-6.644,1,0.0552,0.317,0.0,0.105,0.86,148.014,4
Songs to Sing in the Car,Sing along and enjoy the drive...,4kbj5MwxO1bq9wjT5g9HaA,Shut Up and Dance,2014-12-02,874169435,TALKING IS HARD,WALK THE MOON,,,6DIS6PRrLS3wbnZsf7vYic,82,dance pop,indie pop,indie poptimism,1708474,0,199080,0.578,0.866,1,-3.804,1,0.0619,0.00701,0.0,0.257,0.619,128.038,4
Songs to Sing in the Car,Sing along and enjoy the drive...,76SFcrLi5d60pHrzfvSjsJ,Let Me Entertain You,1999,81041843,The Ego Has Landed,Robbie Williams,,,2HcwFjNelS49kFbfvMxQYw,46,dance pop,europop,pop,2086243,0,261133,0.464,0.963,10,-5.019,1,0.0662,0.000172,0.00215,0.0901,0.37,125.085,4
Songs to Sing in the Car,Sing along and enjoy the drive...,2MLHyLy5z5l5YRp7momlgw,Island In The Sun,2001-05-15,337028222,Weezer (Green Album),Weezer,,,3jOstUTkEu2JkjvRdBA5Gu,78,alternative rock,modern power pop,modern rock,2177179,0,200307,0.654,0.81,4,-6.26,0,0.0288,0.00719,0.00251,0.165,0.661,114.623,4
Songs to Sing in the Car,Sing along and enjoy the drive...,6hs3SDnbO3f6VQuPO4KBEb,Send Me on My Way,1996-11-12,247107677,Music From Party of Five,Rusted Root,,,2M3vnW1p5w4uPRkLYTbvdB,74,jam band,pittsburgh rock,,129718,0,263333,0.5,0.681,0,-9.556,1,0.0672,0.114,4.01e-05,0.139,0.745,119.46,4
Songs to Sing in the Car,Sing along and enjoy the drive...,7qiZfU4dY1lWllzX7mPBI3,Shape of You,2017-03-03,2686582767,÷ (Deluxe),Ed Sheeran,,,6eUKZXaKkcviH0Ku9w2n3V,87,pop,uk pop,,74512339,0,233713,0.825,0.652,1,-3.183,0,0.0802,0.581,0.0,0.0931,0.931,95.977,4
Songs to Sing in the Car,Sing along and enjoy the drive...,1Pje5DSZWSD1JLEZVx7Fma,Jack & Diane,1997-01-01,177953527,The Best That I Could Do 1978 - 1988,John Mellencamp,,,3lPQ2Fk5JOwGWAF3ORFCqH,0,album rock,classic rock,country rock,974208,0,254400,0.818,0.445,9,-8.629,1,0.0503,0.0635,1.62e-05,0.0857,0.694,103.938,4
Songs to Sing in the Car,Sing along and enjoy the drive...,4yugZvBYaoREkJKtbG08Qr,Take It Easy - 2013 Remaster,1972,265122354,Eagles (2013 Remaster),Eagles,,,0ECwFtbIWEVNwjlrfc6xoL,78,album rock,classic rock,country rock,5934521,0,211578,0.575,0.67,7,-10.39,1,0.0318,0.343,4.95e-06,0.129,0.74,139.191,4
Songs to Sing in the Car,Sing along and enjoy the drive...,7mSUMlp8ttG8H00RePyZ5J,Right Back Where We Started From - 1994 Remaster,2008-04-28,nan,Playlist: Dance,Maxine Nightingale,,,6jQ9UtYXqNfVnPkrH1Xxwi,0,classic uk pop,,,8586,0,190733,0.688,0.676,5,-5.425,1,0.038,0.58,0.00361,0.483,0.933,148.026,4
Songs to Sing in the Car,Sing along and enjoy the drive...,6dnco8haegnJYtylV26cBq,Islands In the Stream,1982-10-04,nan,Greatest Hits,Dolly Parton,Kenny Rogers,,32vWCbZh0xZ4o9gkz4PsEU,70,classic country pop,country,country dawn,1310113,0,251960,0.618,0.412,8,-12.075,1,0.0368,0.675,1.04e-06,0.0886,0.74,203.933,4
