playlist,description,track_id,title,release,plays,album,artist1,artist2,artist3,artist_id,popularity_track,genre1,genre2,genre3,artist_followers,explicit,duration,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
¡Viva Latino!,"Today's top Latin hits are right here, on ¡Viva Latino! Cover: Boza",3VvA1wSxukMLsvXoXtlwWx,Hecha Pa' Mi,2020-07-31,74807061,Más Negro Que Rojo,Boza,,,2NfSBtmWe7oPw1EmetJVso,93,,,,178621,0,186133,0.725,0.756,4,-5.013,1,0.0572,0.362,0.000685,0.103,0.828,100.07,4
¡Viva Latino!,"Today's top Latin hits are right here, on ¡Viva Latino! Cover: Boza",7vrJn5hDSXRmdXoR30KgF1,BICHOTA,2020-10-23,213607414,BICHOTA,KAROL G,,,790FomKkXshlbRYZFtlgla,98,latin,reggaeton,reggaeton colombiano,14132716,1,178947,0.863,0.666,1,-4.158,0,0.152,0.212,0.000493,0.103,0.838,163.908,4
¡Viva Latino!,"Today's top Latin hits are right here, on ¡Viva Latino! Cover: Boza",69Y5IZuBvGyzySFt5x7kCq,Más De La Una,2020-12-03,21379282,Más De La Una,Piso 21,Maluma,,4bw2Am3p9ji3mYsXNXtQcd,85,colombian pop,latin,latin pop,6470637,1,236731,0.605,0.8,10,-3.018,1,0.312,0.518,0.000128,0.0763,0.732,92.284,4
¡Viva Latino!,"Today's top Latin hits are right here, on ¡Viva Latino! Cover: Boza",21N4Buj4xsyLb218lYle61,Chica Ideal,2020-10-16,123101124,Chica Ideal,Sebastian Yatra,Guaynaa,,07YUOmWljBTXwIseAUd9TW,93,colombian pop,latin,latin pop,14217737,0,183240,0.574,0.891,0,-3.665,0,0.157,0.0847,0.0,0.16,0.707,100.978,4
¡Viva Latino!,"Today's top Latin hits are right here, on ¡Viva Latino! Cover: Boza",1xK1Gg9SxG8fy2Ya373oqb,Bandido,2020-12-10,36609005,Bandido,Myke Towers,Juhn,,7iK8PXO48WeuP03g8YR51W,90,trap latino,,,4019286,0,232853,0.713,0.617,8,-4.637,1,0.0887,0.122,0.0,0.0962,0.682,168.021,4
¡Viva Latino!,"Today's top Latin hits are right here, on ¡Viva Latino! Cover: Boza",2XIc1pqjXV3Cr2BQUGNBck,LA NOCHE DE ANOCHE,2020-11-27,138810852,EL ÚLTIMO TOUR DEL MUNDO,Bad Bunny,ROSALÍA,,4q3ewBCX7sLwd24euuV69X,97,latin,reggaeton,trap latino,28617562,0,203201,0.856,0.618,7,-4.892,1,0.286,0.0303,0.0,0.0866,0.391,81.993,4
¡Viva Latino!,"Today's top Latin hits are right here, on ¡Viva Latino! Cover: Boza",7D7EH7MGyNHWSkqrszerI1,BEBÉ,2020-11-25,54857869,BEBÉ,Camilo,El Alfa,,28gNT5KBp7IjEOQoevXf9N,91,colombian pop,latin,reggaeton colombiano,5991238,0,198707,0.862,0.72,4,-4.048,1,0.0379,0.487,1.19e-06,0.0604,0.965,129.972,4
¡Viva Latino!,"Today's top Latin hits are right here, on ¡Viva Latino! Cover: Boza",1zLBsSVxETQOfINOLYvT5m,GIRL LIKE ME,2020-11-02,47314692,TRANSLATION,Black Eyed Peas,Shakira,,1yxSLGMDHlW21z4YXirZDS,88,dance pop,pop,pop dance,5169564,1,222523,0.965,0.485,2,-8.784,1,0.191,0.0206,0.0237,0.0655,0.312,124.025,4
¡Viva Latino!,"Today's top Latin hits are right here, on ¡Viva Latino! Cover: Boza",7ndTONDDRFGiPnnhOzOXxq,La Nota,2020-10-08,157183980,La Nota,Manuel Turizo,Rauw Alejandro,Myke Towers,0tmwSHipWxN12fsoLcFU3B,94,colombian pop,latin,latin pop,6675030,0,216107,0.736,0.632,11,-4.939,0,0.0648,0.18,0.0,0.349,0.503,92.03,4
¡Viva Latino!,"Today's top Latin hits are right here, on ¡Viva Latino! Cover: Boza",35UUpTmrcFXNIVIN26ujXl,Relación - Remix,2020-09-04,261668327,Relación (Remix),Sech,Daddy Yankee,J Balvin,77ziqFxp5gaInVrF2lj4ht,94,latin,panamanian pop,reggaeton,6806517,0,247308,0.793,0.771,5,-3.417,1,0.0959,0.0337,1.51e-06,0.284,0.835,171.943,4
