playlist,description,track_id,title,release,plays,album,artist1,artist2,artist3,artist_id,popularity_track,genre1,genre2,genre3,artist_followers,explicit,duration,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Mood Booster,Get happy with today's dose of feel-good songs!,31qCy5ZaophVA81wtlwLc4,Anyone,2021-01-01,29867426,Anyone,Justin Bieber,,,1uNFoZAHBGtllmzznpCI3s,91,canadian pop,pop,post-teen pop,41222799,0,190779,0.686,0.538,2,-8.026,1,0.0345,0.181,3.13e-06,0.113,0.584,115.884,4
Mood Booster,Get happy with today's dose of feel-good songs!,53BHUFdQphHiZUUG3nx9zn,Bang!,2020-02-12,91014231,Bang!,AJR,,,6s22t5Y3prQHyaHWUN1R1C,82,modern rock,,,1573100,0,170858,0.74,0.516,1,-6.233,0,0.0507,0.0183,0.0,0.0558,0.698,139.918,4
Mood Booster,Get happy with today's dose of feel-good songs!,6SGG5AxHShqSYiV9fCWpZz,Stay Next To Me (with Chelsea Cutler),2020-12-04,8853970,Stay Next To Me (with Chelsea Cutler),Quinn XCII,Chelsea Cutler,,3ApUX1o6oSz321MMECyIYd,78,electropop,indie pop rap,pop,578722,0,206046,0.581,0.584,2,-4.928,1,0.284,0.0805,0.0,0.366,0.756,179.954,4
Mood Booster,Get happy with today's dose of feel-good songs!,5id3Rqn7SPj1LX4FfY4nGz,Together,2020-05-20,95671710,Together,Sia,,,5WUlDfRSoLAfcVSX1WnrxN,82,australian dance,australian pop,dance pop,18294866,0,205208,0.521,0.877,7,-5.444,1,0.0683,0.0132,0.0806,0.0929,0.199,180.007,4
Mood Booster,Get happy with today's dose of feel-good songs!,1FP9s72rDYty6mfoOEYKnE,All We Got (feat. KIDDO),2020-10-16,48563611,All We Got (feat. KIDDO),Robin Schulz,KIDDO,,3t5xRXzsuZmMDkQzgOX35S,88,dance pop,deep euro house,deep house,2600078,1,190218,0.504,0.76,4,-4.246,1,0.0426,0.286,0.0,0.151,0.64,183.933,4
Mood Booster,Get happy with today's dose of feel-good songs!,463CkQjx2Zk1yXoBuierM9,Levitating (feat. DaBaby),2020-10-01,179881862,Levitating (feat. DaBaby),Dua Lipa,DaBaby,,6M2wZ9GZgrQXHCFfjv46we,92,dance pop,pop,pop dance,21976970,0,203064,0.702,0.825,6,-3.787,0,0.0601,0.00883,0.0,0.0674,0.915,102.977,4
Mood Booster,Get happy with today's dose of feel-good songs!,140XpWSdJ0jZEbLj9iVnPA,The Best Days (feat. Tabitha),2020-11-20,6087056,The Best Days (feat. Tabitha),Sam Feldt,Karma Child,Tabitha,20gsENnposVs2I4rQ5kvrf,74,dance pop,edm,electro house,587436,0,161944,0.667,0.827,11,-5.631,1,0.0368,0.0863,0.0,0.0565,0.573,107.95,4
Mood Booster,Get happy with today's dose of feel-good songs!,4Lt6GXGzYsa1tgkv3nGSTm,Love Not War (The Tampa Beat),2020-11-20,35846409,Love Not War (The Tampa Beat),Jason Derulo,Nuka,,07YZf4WDAMNwqr4jfgOZ8y,87,dance pop,pop,pop dance,8719933,0,192921,0.738,0.85,8,-3.049,1,0.0642,0.105,0.0,0.23,0.865,98.013,4
Mood Booster,Get happy with today's dose of feel-good songs!,5l0nX3AhmmF717aKSs8qSH,Edge of Midnight (Midnight Sky Remix) (feat. Stevie Nicks),2020-11-06,nan,Edge of Midnight (Midnight Sky Remix) (feat. Stevie Nicks),Miley Cyrus,Stevie Nicks,,5YGY8feqx7naU7z4HrwZM6,75,dance pop,pop,pop dance,13767139,0,220636,0.681,0.737,4,-5.246,0,0.0384,0.0291,7.16e-06,0.0856,0.278,109.95,4
Mood Booster,Get happy with today's dose of feel-good songs!,1jgu8MFTEGdL1wjw9gZj5y,Fly Away,2020-11-13,33353321,Fly Away,Tones And I,,,2NjfBq1NflQcKSeiDooVjY,74,australian pop,pop,,2518633,0,178157,0.805,0.515,4,-6.201,1,0.0915,0.223,0.0,0.238,0.488,124.969,4
