playlist,description,track_id,title,release,plays,album,artist1,artist2,artist3,artist_id,popularity_track,genre1,genre2,genre3,artist_followers,explicit,duration,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
RapCaviar,"Music from Lil Baby, Lil Durk and Jack Harlow.",4Iedi94TIaB2GGb1nMB68v,On Me,2020-12-04,20883131,On Me,Lil Baby,,,5f7VJjfbwm532GiveGC0ZK,84,atl hip hop,atl trap,rap,5913773,1,135960,0.856,0.564,6,-6.295,0,0.392,0.00327,0.0,0.134,0.483,77.972,4
RapCaviar,"Music from Lil Baby, Lil Durk and Jack Harlow.",6rLi6PyWXu1rPlShuIZpj6,Way Out (feat. Big Sean),2020-12-09,29901643,Way Out (feat. Big Sean),Jack Harlow,Big Sean,,2LIk90788K0zvyj2JJVwkJ,83,deep underground hip hop,kentucky hip hop,pop rap,644370,1,168906,0.945,0.582,11,-8.357,0,0.0719,0.114,0.0,0.103,0.907,108.025,4
RapCaviar,"Music from Lil Baby, Lil Durk and Jack Harlow.",0k7wmahjkn389wAZdz19Cv,Drankin N Smokin,2020-11-13,35245777,Pluto x Baby Pluto,Future,Lil Uzi Vert,,1RyvyyTE3xzB2ZywiAwp0i,85,atl hip hop,pop rap,rap,9723814,1,213520,0.752,0.658,0,-6.297,1,0.342,0.0421,0.0,0.0927,0.387,151.951,4
RapCaviar,"Music from Lil Baby, Lil Durk and Jack Harlow.",7o4gBbTM6UBLkOYPw9xMCz,Moonwalking in Calabasas (feat. Blueface) - Remix,2020-12-02,66220014,Moonwalking in Calabasas (feat. Blueface) [Remix],DDG,Blueface,,0WK3H9OErSn5zKOkOV5egm,85,trap,vapor trap,viral rap,307601,1,170233,0.928,0.341,11,-10.196,0,0.103,0.0614,0.0,0.162,0.745,129.966,4
RapCaviar,"Music from Lil Baby, Lil Durk and Jack Harlow.",5vGLcdRuSbUhD8ScwsGSdA,Whoopty,2020-08-20,158983860,Whoopty,CJ,,,7arQA31aZVS8yS6zUveWzb,96,,,,57629,1,123429,0.711,0.598,3,-7.621,0,0.182,0.19,0.0,0.15,0.737,140.175,4
RapCaviar,"Music from Lil Baby, Lil Durk and Jack Harlow.",43BlKpJcSrC9AsJ3F1DKg9,Still Trappin' (with King Von),2020-12-24,8721283,The Voice,Lil Durk,King Von,,3hcs9uc56yIGFCSy9leWe7,80,chicago drill,chicago rap,drill,2088884,1,172185,0.877,0.677,5,-4.969,0,0.356,0.0439,0.0,0.0986,0.627,144.941,4
RapCaviar,"Music from Lil Baby, Lil Durk and Jack Harlow.",2r6OAV3WsYtXuXjvJ1lIDi,Hello (feat. A Boogie Wit da Hoodie),2020-07-20,131367945,Shoot For The Stars Aim For The Moon (Deluxe),Pop Smoke,A Boogie Wit da Hoodie,,0eDvMgVFoNV3TpwtrVCoTj,90,brooklyn drill,,,3476796,1,190534,0.905,0.647,10,-5.065,0,0.107,0.0187,0.0,0.282,0.367,130.97,4
RapCaviar,"Music from Lil Baby, Lil Durk and Jack Harlow.",6eVxH9Kyanzrw636zJRPcw,Errbody,2020-12-03,19622358,Errbody,Lil Baby,,,5f7VJjfbwm532GiveGC0ZK,83,atl hip hop,atl trap,rap,5913773,1,210699,0.887,0.606,2,-6.572,1,0.324,0.000407,0.0,0.151,0.272,139.995,4
RapCaviar,"Music from Lil Baby, Lil Durk and Jack Harlow.",3NxFTRr0692mbC5hD0nEZD,Onna Come Up,2020-10-02,41553150,Onna Come Up,Lil Eazzyy,,,0rpUnzu4JIoRkKkGvdcm7b,80,chicago rap,,,32469,1,128014,0.796,0.426,1,-13.207,1,0.285,0.356,2.73e-05,0.0941,0.649,150.043,4
RapCaviar,"Music from Lil Baby, Lil Durk and Jack Harlow.",4x3mum2YGHtIBrgUKiNt4F,Don't Need Friends (feat. Lil Baby),2020-11-06,18841911,Emergency Tsunami,NAV,Lil Baby,,7rkW85dBwwrJtlHRDkJDAC,80,canadian hip hop,hip hop,melodic rap,2315918,1,184619,0.852,0.674,2,-4.166,1,0.211,0.0123,0.0,0.126,0.584,130.085,4
