playlist,description,track_id,title,release,plays,album,artist1,artist2,artist3,artist_id,popularity_track,genre1,genre2,genre3,artist_followers,explicit,duration,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Hot Country,"Today's top country hits of the week, worldwide! Cover: Morgan Wallen",2L4YgbxxwmwafMqLIjSx8q,Livin’ The Dream,2020-11-19,14152993,Livin’ The Dream,Morgan Wallen,,,4oUHIQIBe0LHzYfvXNW4QM,79,contemporary country,deep talent show,,1172572,1,239120,0.621,0.754,7,-5.904,0,0.0269,0.575,0.00484,0.213,0.441,127.036,4
Hot Country,"Today's top country hits of the week, worldwide! Cover: Morgan Wallen",1irAliF0T8sLIOPJp6n7rU,Single Saturday Night,2020-05-22,28092004,Single Saturday Night,Cole Swindell,,,1mfDfLsMxYcOOZkzBxvSVW,75,contemporary country,country,country road,1482378,0,187684,0.623,0.79,7,-5.07,1,0.0473,0.118,0.0,0.226,0.694,81.949,4
Hot Country,"Today's top country hits of the week, worldwide! Cover: Morgan Wallen",1TP0hha5wan1xwKjGcNSCv,Never Be Sorry,2019-10-25,16214920,Old Dominion,Old Dominion,,,6y8XlgIV8BLlIg1tT1R10i,72,contemporary country,country road,,917106,0,203840,0.733,0.833,11,-5.416,1,0.0284,0.012,4.22e-05,0.16,0.851,125.998,4
Hot Country,"Today's top country hits of the week, worldwide! Cover: Morgan Wallen",5ovVcYo2MvjVydFwFyaaqy,I Should Probably Go To Bed,2020-07-31,48056924,I Should Probably Go To Bed,Dan + Shay,,,7z5WFjZAIYejWy0NI5lv4T,80,contemporary country,pop,,2041292,0,171827,0.721,0.277,1,-7.128,1,0.0365,0.634,0.0,0.112,0.309,131.935,4
Hot Country,"Today's top country hits of the week, worldwide! Cover: Morgan Wallen",6vC90OOjZR165Hw8CpsqEm,Pretty Heart,2019-08-30,48370735,Pretty Heart,Parker McCollum,,,0Z8XVUAOBPM4x12wKnFHEQ,79,contemporary country,texas country,,112378,0,244798,0.562,0.683,7,-4.427,1,0.0296,0.00531,0.0,0.107,0.385,132.003,4
Hot Country,"Today's top country hits of the week, worldwide! Cover: Morgan Wallen",5NUXE8W12lWcUXgJRCjeEw,One Too Many,2020-09-16,42397435,One Too Many,Keith Urban,P!nk,,0u2FHSq3ln94y5Q57xazwf,80,australian country,australian pop,contemporary country,4035974,0,203893,0.697,0.535,4,-6.504,1,0.068,0.247,0.0,0.569,0.594,82.959,4
Hot Country,"Today's top country hits of the week, worldwide! Cover: Morgan Wallen",7eQEnXy5vNjPv6aXVl6N26,It's About Time (feat. Florida Georgia Line),2020-11-20,5589389,It's About Time (feat. Florida Georgia Line),Russell Dickerson,Florida Georgia Line,,1E2AEtxaFaJtH0lO7kgNKw,73,contemporary country,country,country road,288123,0,175772,0.765,0.92,6,-4.362,1,0.0984,0.249,0.0,0.618,0.799,121.011,4
Hot Country,"Today's top country hits of the week, worldwide! Cover: Morgan Wallen",4iK2zz811mSOLZqLGgII16,She Got That,2020-09-18,3111193,DIRT BOY Vol. 1 - EP,Drew Green,,,7xZTozOYTK6YKaxcQxeBdP,70,country pop,,,1671,0,157867,0.657,0.639,0,-5.483,1,0.0308,0.0481,0.0,0.196,0.474,122.047,4
Hot Country,"Today's top country hits of the week, worldwide! Cover: Morgan Wallen",3TNSVsiFngfe68UJpMq1oS,Starting Over,2020-08-27,38798506,Starting Over,Chris Stapleton,,,4YLtscXsxbVgi031ovDDdh,79,contemporary country,outlaw country,,2876064,0,240413,0.638,0.538,10,-8.445,1,0.0315,0.452,0.000415,0.0695,0.318,89.124,4
Hot Country,"Today's top country hits of the week, worldwide! Cover: Morgan Wallen",4iXDn9pu5Q9sxv45vE8Lak,Famous Friends,2020-11-20,7531299,Famous Friends,Chris Young,Kane Brown,,4BYxqVkZyFjtik7crYLg5Q,76,contemporary country,country,country road,2070274,0,165569,0.533,0.855,6,-2.901,1,0.0356,0.0553,0.0,0.335,0.64,102.017,4
