playlist,description,track_id,title,release,plays,album,artist1,artist2,artist3,artist_id,popularity_track,genre1,genre2,genre3,artist_followers,explicit,duration,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
All Out 80s,"Dramatic, diverse to the sometimes ridiculous - here's the 80's.",6ADSaE87h8Y3lccZlBJdXH,With Or Without You - Remastered,1987-03-03,512667749,The Joshua Tree (Super Deluxe),U2,,,51Blml2LZPmy7TTiAg47vQ,82,irish rock,permanent wave,rock,7751777,0,295516,0.54,0.429,2,-11.822,1,0.0285,0.000202,0.355,0.141,0.113,110.171,4
All Out 80s,"Dramatic, diverse to the sometimes ridiculous - here's the 80's.",2WfaOiMkCvy7F5fcp2zZ8L,Take on Me,1985-06-01,784974569,Hunting High and Low,a-ha,,,2jzc5TC5TVFLXQlBNiIUzE,86,dance rock,europop,new romantic,1396869,0,225280,0.573,0.902,6,-7.638,0,0.054,0.018,0.00125,0.0928,0.876,84.412,4
All Out 80s,"Dramatic, diverse to the sometimes ridiculous - here's the 80's.",7gozgbG5EBTukCFWToTRA5,I Still Haven't Found What I'm Looking For - Remastered 2007,1987-03-10,nan,The Joshua Tree (Deluxe Edition Remastered),U2,,,51Blml2LZPmy7TTiAg47vQ,0,irish rock,permanent wave,rock,7751777,0,277480,0.565,0.764,1,-9.43,1,0.0351,0.0139,0.00488,0.079,0.686,100.891,4
All Out 80s,"Dramatic, diverse to the sometimes ridiculous - here's the 80's.",4kOfxxnW1ukZdsNbCKY9br,What's Love Got to Do with It,1993,97055253,What's Love Got to Do with It?,Tina Turner,,,1zuJe6b1roixEKMOtyrEak,77,disco,europop,new wave pop,2211597,0,226880,0.851,0.406,1,-11.631,1,0.0661,0.219,6.41e-06,0.0853,0.792,97.84,4
All Out 80s,"Dramatic, diverse to the sometimes ridiculous - here's the 80's.",5iwyLsQ5yjnCaRrJGyAPZM,Endless Love,1992-01-01,169590729,Back To Front,Lionel Richie,Diana Ross,,3gMaNLQm7D9MornNILzdSl,73,adult standards,disco,mellow gold,1950215,0,266800,0.483,0.268,10,-11.809,1,0.0257,0.866,0.0163,0.145,0.182,93.47,4
All Out 80s,"Dramatic, diverse to the sometimes ridiculous - here's the 80's.",4qO03RMQm88DdpTJcxlglY,Call Me,1999-01-01,177898823,Atomic/Atomix,Blondie,,,4tpUmLEVLCGFr93o8hFFIB,73,candy pop,dance rock,new wave,863418,0,212600,0.56,0.825,2,-6.711,0,0.0347,0.000785,0.00246,0.0892,0.74,142.669,4
All Out 80s,"Dramatic, diverse to the sometimes ridiculous - here's the 80's.",7ohR0qPH6f2Vuj2pUNanJG,Got To Give It Up - Pt. 1,1983-08-22,85539768,Every Great Motown Hit Of Marvin Gaye,Marvin Gaye,,,3koiLjNrgRTNbOwViDipeA,68,classic soul,funk,motown,3776299,0,255133,0.855,0.847,2,-9.019,1,0.042,0.234,0.00062,0.345,0.89,122.644,4
All Out 80s,"Dramatic, diverse to the sometimes ridiculous - here's the 80's.",7oOOI85fVQvVnK5ynNMdW7,Rock with You - Single Version,1979-08-10,197844363,Off the Wall,Michael Jackson,,,3fMbdgg4jU18AjLCKBhRSm,75,pop,r&b,soul,17001061,0,220627,0.808,0.535,1,-12.521,1,0.0353,0.179,9.91e-05,0.158,0.848,114.031,4
All Out 80s,"Dramatic, diverse to the sometimes ridiculous - here's the 80's.",2tUBqZG2AbRi7Q0BIrVrEj,I Wanna Dance with Somebody (Who Loves Me),1987-06-02,565909857,Whitney,Whitney Houston,,,6XpaIBNiVzIetEPCWDvAFP,85,dance pop,pop,urban contemporary,6164095,0,291293,0.709,0.824,1,-8.824,1,0.0453,0.207,0.000307,0.0888,0.867,118.818,4
All Out 80s,"Dramatic, diverse to the sometimes ridiculous - here's the 80's.",5veJDT0MLsLbhYsx42GXUD,Don't Stand So Close To Me,1980-10-03,76493002,Zenyatta Mondatta (Remastered 2003),The Police,,,5NGO30tJxFlKixkPSgXcFE,71,album rock,art rock,classic rock,3931888,0,242667,0.799,0.506,2,-9.414,1,0.0606,0.0453,0.00107,0.0365,0.518,140.309,4
All Out 80s,"Dramatic, diverse to the sometimes ridiculous - here's the 80's.",5ChkMS8OtdzJeqyybCc9R5,Billie Jean,1982-11-30,792542464,Thriller 25 Super Deluxe Edition,Michael Jackson,,,3fMbdgg4jU18AjLCKBhRSm,85,pop,r&b,soul,17001061,0,293827,0.92,0.654,11,-3.051,0,0.0401,0.0236,0.0158,0.0359,0.847,117.046,4
All Out 80s,"Dramatic, diverse to the sometimes ridiculous - here's the 80's.",4w3tQBXhn5345eUXDGBWZG,9 to 5,1980,263577399,9 To 5 And Odd Jobs,Dolly Parton,,,32vWCbZh0xZ4o9gkz4PsEU,78,classic country pop,country,country dawn,1310113,0,162467,0.554,0.783,6,-5.852,1,0.0457,0.416,1.54e-06,0.631,0.813,105.39,4
All Out 80s,"Dramatic, diverse to the sometimes ridiculous - here's the 80's.",57Y3UccJEJqT8w8RWkUAz0,Upside Down,1980-05-22,88275287,Diana,Diana Ross,,,3MdG05syQeRYPPcClLaUGl,70,adult standards,disco,funk,1206581,0,244827,0.887,0.904,5,-5.107,0,0.0703,0.079,0.0101,0.0165,0.89,107.955,4
All Out 80s,"Dramatic, diverse to the sometimes ridiculous - here's the 80's.",5O4erNlJ74PIF6kGol1ZrC,Could You Be Loved,1980,398342417,Uprising,Bob Marley & The Wailers,,,2QsynagSdAqZj3U9HgDzjD,78,reggae,roots reggae,,9003210,0,237000,0.916,0.72,0,-8.548,1,0.1,0.36,0.00016,0.0958,0.76,103.312,4
All Out 80s,"Dramatic, diverse to the sometimes ridiculous - here's the 80's.",3K7Q9PHUWPTaknlbFPThn2,Celebration,1980-09-29,90195926,Celebrate!,Kool & The Gang,,,3VNITwohbvU5Wuy5PC6dsI,71,disco,funk,motown,1521822,0,298867,0.885,0.664,1,-11.795,1,0.0524,0.145,0.0483,0.0767,0.906,121.632,4
All Out 80s,"Dramatic, diverse to the sometimes ridiculous - here's the 80's.",0qi4b1l0eT3jpzeNHeFXDT,Just Can't Get Enough,1981-11-02,183818562,Speak And Spell (Deluxe),Depeche Mode,,,762310PdDnwsDxAQxzQkfX,73,dance rock,new romantic,new wave,3589601,0,220893,0.766,0.772,0,-9.362,1,0.0353,0.403,0.0584,0.183,0.92,128.166,4
All Out 80s,"Dramatic, diverse to the sometimes ridiculous - here's the 80's.",0J2p4KYdr6Mg4ET6JPlbe1,Super Trouper,1980,116293342,Super Trouper,ABBA,,,0LcJLqbBmaGUft1e9Mm8HV,72,europop,swedish pop,,5121508,0,252853,0.764,0.626,0,-8.274,1,0.0288,0.457,6.35e-06,0.201,0.961,118.34,4
All Out 80s,"Dramatic, diverse to the sometimes ridiculous - here's the 80's.",3nFJbZCHP4d9vduKjJLdBL,Never Too Much,1981-07-23,136584723,Never Too Much,Luther Vandross,,,19y5MFBH7gohEdGwKM7QsP,73,funk,motown,neo soul,1601728,0,230467,0.734,0.586,2,-11.866,1,0.129,0.125,0.0,0.0367,0.762,109.933,4
All Out 80s,"Dramatic, diverse to the sometimes ridiculous - here's the 80's.",7HKez549fwJQDzx3zLjHKC,Start Me Up - Remastered,1981-08-24,300027780,Tattoo You (2009 Re-Mastered),The Rolling Stones,,,22bE4uQ6baNwSHPVcDxLCe,79,album rock,british invasion,classic rock,9625324,0,213067,0.631,0.932,5,-4.142,1,0.0354,0.0436,0.137,0.0918,0.971,122.429,4
