playlist,description,track_id,title,plays,album,artist/s,artist_id,popularity_track,genre1,genre2,genre3,artist_followers,explicit,duration,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Top Tracks of 2020,The Global Top Tracks of 2020. Cover: The Weeknd,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,1747226514,After Hours,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,97,canadian contemporary r&b,canadian pop,pop,26634329,0,200040,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,4
Top Tracks of 2020,The Global Top Tracks of 2020. Cover: The Weeknd,1rgnBhdG2JDFTbYkYRZAku,Dance Monkey,1986783025,Dance Monkey,Tones And I,2NjfBq1NflQcKSeiDooVjY,71,australian pop,,,2435056,0,209755,0.825,0.593,6,-6.401,0,0.0988,0.688,0.000161,0.17,0.54,98.078,4
Top Tracks of 2020,The Global Top Tracks of 2020. Cover: The Weeknd,0nbXyq5TXYPCO7pr3N8S4I,The Box,1084828362,Please Excuse Me For Being Antisocial,Roddy Ricch,757aE44tKEUQEqRuT6GnEB,90,melodic rap,rap,trap,4991249,1,196653,0.896,0.586,10,-6.687,0,0.0559,0.104,0.0,0.79,0.642,116.971,4
Top Tracks of 2020,The Global Top Tracks of 2020. Cover: The Weeknd,2Wo6QQD1KMDWeFkkjLqwx5,Roses - Imanbek Remix,1080664694,Roses (Imanbek Remix),"SAINt JHN, Imanbek",0H39MdGGX6dbnnQPt6NQkZ,76,melodic rap,pop rap,rap,597487,1,176219,0.785,0.721,8,-5.457,1,0.0506,0.0149,0.00432,0.285,0.894,121.962,4
Top Tracks of 2020,The Global Top Tracks of 2020. Cover: The Weeknd,3PfIrDoz19wz7qK7tYeu62,Don't Start Now,1232173577,Future Nostalgia,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,85,dance pop,pop,pop dance,21383592,0,183290,0.793,0.793,11,-4.521,0,0.083,0.0123,0.0,0.0951,0.679,123.95,4
Top Tracks of 2020,The Global Top Tracks of 2020. Cover: The Weeknd,7ytR5pFWmSjzHJIeQkgog4,ROCKSTAR (feat. Roddy Ricch),903523389,BLAME IT ON BABY,"DaBaby, Roddy Ricch",4r63FhuTkUYltbVAg5TQnk,93,north carolina hip hop,rap,,5143332,1,181733,0.746,0.69,11,-7.956,1,0.164,0.247,0.0,0.101,0.497,89.977,4
Top Tracks of 2020,The Global Top Tracks of 2020. Cover: The Weeknd,6UelLqGlWMcVH1E5c4H7lY,Watermelon Sugar,936927979,Fine Line,Harry Styles,6KImCVD70vtIoJWnq6nGn3,93,pop,post-teen pop,,11155234,0,174000,0.548,0.816,0,-4.209,1,0.0465,0.122,0.0,0.335,0.557,95.39,4
Top Tracks of 2020,The Global Top Tracks of 2020. Cover: The Weeknd,7eJMfftS33KTjuF7lTsMCx,death bed (coffee for your head),807108257,death bed (coffee for your head),"Powfu, beabadoobee",6bmlMHgSheBauioMgKv2tn,90,sad rap,,,700959,0,173333,0.726,0.431,8,-8.765,0,0.135,0.731,0.0,0.696,0.348,144.026,4
Top Tracks of 2020,The Global Top Tracks of 2020. Cover: The Weeknd,2rRJrJEo19S2J82BDsQ3F7,Falling,947758562,Nicotine,Trevor Daniel,7uaIm6Pw7xplS8Dy06V6pT,79,alternative r&b,melodic rap,pop rap,526921,0,159382,0.784,0.43,10,-8.756,0,0.0364,0.123,0.0,0.0887,0.236,127.087,4
Top Tracks of 2020,The Global Top Tracks of 2020. Cover: The Weeknd,7qEHsqek33rTcFNT9PFqLf,Someone You Loved,1656458655,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,91,pop,uk pop,,6088447,0,182161,0.501,0.405,1,-5.679,1,0.0319,0.751,0.0,0.105,0.446,109.891,4
Top Tracks of 2020,The Global Top Tracks of 2020. Cover: The Weeknd,7k4t7uLgtOxPwTpFmtJNTY,Tusa,907542813,Tusa,"KAROL G, Nicki Minaj",790FomKkXshlbRYZFtlgla,89,latin,reggaeton,reggaeton colombiano,13545526,0,200960,0.803,0.715,2,-3.28,1,0.298,0.295,0.000134,0.0574,0.574,101.085,4
Top Tracks of 2020,The Global Top Tracks of 2020. Cover: The Weeknd,696DnlkuDOXcMAnKlTgXXK,ROXANNE,983001233,ROXANNE,Arizona Zervas,0vRvGUQVUjytro0xpb26bs,87,pop rap,rhode island rap,,540961,1,163636,0.621,0.601,6,-5.616,0,0.148,0.0522,0.0,0.46,0.457,116.735,5
Top Tracks of 2020,The Global Top Tracks of 2020. Cover: The Weeknd,21jGcNKet2qwijlDFuPiPb,Circles,1217961915,Hollywood's Bleeding,Post Malone,246dkjvS1zLTtiykXe5h60,90,dfw rap,melodic rap,rap,29871741,0,215280,0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.553,120.042,4
Top Tracks of 2020,The Global Top Tracks of 2020. Cover: The Weeknd,22LAwLoDA5b4AaGSkg6bKW,Blueberry Faygo,681880511,Certified Hitmaker,Lil Mosey,5zctI4wO9XSKS8XwcnqEHk,84,melodic rap,rap conscient,trap,3082214,1,162547,0.774,0.554,0,-7.909,1,0.0383,0.207,0.0,0.132,0.349,99.034,4
Top Tracks of 2020,The Global Top Tracks of 2020. Cover: The Weeknd,4umIPjkehX1r7uhmGvXiSV,Intentions (feat. Quavo),646750038,Changes,"Justin Bieber, Quavo",1uNFoZAHBGtllmzznpCI3s,83,canadian pop,pop,post-teen pop,40307619,0,212867,0.806,0.546,9,-6.637,1,0.0575,0.3,0.0,0.102,0.874,147.986,4
Top Tracks of 2020,The Global Top Tracks of 2020. Cover: The Weeknd,466cKvZn1j45IpxDdYZqdA,Toosie Slide,636960324,Dark Lane Demo Tapes,Drake,3TVXtAsR1Inumwj472S9r4,80,canadian hip hop,canadian pop,hip hop,51321643,1,247059,0.83,0.49,1,-8.82,0,0.209,0.289,3.04e-06,0.113,0.845,81.604,4
Top Tracks of 2020,The Global Top Tracks of 2020. Cover: The Weeknd,2gMXnyrvIjhVBUZwvLZDMP,Before You Go,724533074,Divinely Uninspired To A Hellish Extent (Extended Edition),Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,86,pop,uk pop,,6088447,0,215107,0.459,0.575,3,-4.858,1,0.0573,0.604,0.0,0.0885,0.183,111.881,4
Top Tracks of 2020,The Global Top Tracks of 2020. Cover: The Weeknd,3Dv1eDb0MEgF93GpLXlucZ,Say So,647103452,Hot Pink,Doja Cat,5cj0lLjcoR7YOSnhnX0Po5,86,dance pop,pop,,4499853,1,237893,0.787,0.673,11,-4.577,0,0.158,0.256,3.57e-06,0.0904,0.786,110.962,4
Top Tracks of 2020,The Global Top Tracks of 2020. Cover: The Weeknd,2b8fOow8UzyDFAE27YhOZM,Memories,1005060751,Memories,Maroon 5,04gDigrS5kc9YWfZHwBETP,89,pop,pop rock,,28280792,0,189486,0.764,0.32,11,-7.209,1,0.0546,0.837,0.0,0.0822,0.575,91.019,4
Top Tracks of 2020,The Global Top Tracks of 2020. Cover: The Weeknd,1K5KBOgreBi5fkEHvg5ap3,Life Is Good (feat. Drake),607883077,High Off Life,"Future, Drake",1RyvyyTE3xzB2ZywiAwp0i,78,atl hip hop,pop rap,rap,9605964,1,237918,0.795,0.574,2,-6.903,0,0.487,0.067,0.0,0.15,0.537,142.053,4
Top Tracks of 2020,The Global Top Tracks of 2020. Cover: The Weeknd,1xQ6trAsedVPCdbtDAmk0c,Savage Love (Laxed - Siren Beat),593236442,Savage Love (Laxed - Siren Beat),"Jawsh 685, Jason Derulo",56mfhUDKa1vec6rSLZV5Eg,90,nz pop,,,62709,1,171375,0.767,0.481,0,-8.52,0,0.0803,0.234,0.0,0.269,0.761,150.076,4
Top Tracks of 2020,The Global Top Tracks of 2020. Cover: The Weeknd,3jjujdWJ72nww5eGnfs2E7,Adore You,666187543,Fine Line,Harry Styles,6KImCVD70vtIoJWnq6nGn3,88,pop,post-teen pop,,11155234,0,207133,0.676,0.771,8,-3.675,1,0.0483,0.0237,7e-06,0.102,0.569,99.048,4
Top Tracks of 2020,The Global Top Tracks of 2020. Cover: The Weeknd,3H7ihDc1dqLriiWXwsc2po,Breaking Me,575953271,Breaking Me,"Topic, A7S",0u6GtibW46tFX7koQ6uNJZ,91,dance pop,edm,german dance,113211,0,166794,0.789,0.72,8,-5.652,0,0.218,0.223,0.0,0.129,0.664,122.031,4
Top Tracks of 2020,The Global Top Tracks of 2020. Cover: The Weeknd,3tjFYV6RSFtuktYl3ZtYcq,Mood (feat. iann dior),606724102,Mood (feat. iann dior),"24kGoldn, iann dior",6fWVd57NKTalqvmjRd2t8Z,99,cali rap,,,592717,1,140526,0.7,0.722,7,-3.558,0,0.0369,0.221,0.0,0.272,0.756,90.989,4
Top Tracks of 2020,The Global Top Tracks of 2020. Cover: The Weeknd,3ZCTVFBt2Brf31RLEnCkWJ,everything i wanted,749991236,everything i wanted,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,88,electropop,pop,,36285597,0,245426,0.704,0.225,6,-14.454,0,0.0994,0.902,0.657,0.106,0.243,120.006,4
Top Tracks of 2020,The Global Top Tracks of 2020. Cover: The Weeknd,6v3KW9xbzN5yKLt9YKDYA2,Señorita,1675138590,Shawn Mendes (Deluxe),"Shawn Mendes, Camila Cabello",7n2wHs1TKAczGzO7Dd2rGr,83,canadian pop,dance pop,pop,30395621,0,190800,0.759,0.548,9,-6.049,0,0.029,0.0392,0.0,0.0828,0.749,116.967,4
Top Tracks of 2020,The Global Top Tracks of 2020. Cover: The Weeknd,2Fxmhks0bxGSBdJ92vM42m,bad guy,1621633750,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,89,electropop,pop,,36285597,0,194088,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,4
Top Tracks of 2020,The Global Top Tracks of 2020. Cover: The Weeknd,4Oun2ylbjFKMPTiaSbbCih,WAP (feat. Megan Thee Stallion),566725007,WAP (feat. Megan Thee Stallion),"Cardi B, Megan Thee Stallion",4kYSro6naA4h99UJvo89HB,95,dance pop,pop,pop rap,13522392,1,187541,0.935,0.454,1,-7.509,1,0.375,0.0194,0.0,0.0824,0.357,133.073,4
Top Tracks of 2020,The Global Top Tracks of 2020. Cover: The Weeknd,1Cv1YLb4q0RzL6pybtaMLo,Sunday Best,564124181,Where the Light Is,Surfaces,4ETSs924pXMzjIeD6E9b4u,86,bedroom soul,pop,,628732,0,158571,0.878,0.525,5,-6.832,1,0.0578,0.183,0.0,0.0714,0.694,112.022,4
Top Tracks of 2020,The Global Top Tracks of 2020. Cover: The Weeknd,7FIWs0pqAYbP91WWM0vlTQ,Godzilla (feat. Juice WRLD),524754599,Music To Be Murdered By,"Eminem, Juice WRLD",7dGJo4pcD2V6oG8kP0tJRR,87,detroit hip hop,hip hop,rap,39899830,1,210800,0.808,0.745,10,-5.26,0,0.342,0.145,0.0,0.292,0.829,165.995,4
Top Tracks of 2020,The Global Top Tracks of 2020. Cover: The Weeknd,16wAOAZ2OkqoIDN7TpChjR,Yummy,nan,Changes,Justin Bieber,1uNFoZAHBGtllmzznpCI3s,77,canadian pop,pop,post-teen pop,40307619,0,208520,0.676,0.506,9,-6.652,0,0.0958,0.345,0.0,0.118,0.497,145.842,4
Top Tracks of 2020,The Global Top Tracks of 2020. Cover: The Weeknd,017PF4Q3l4DBUiWoXk4OWT,Break My Heart,519149218,Future Nostalgia,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,86,dance pop,pop,pop dance,21383592,0,221820,0.73,0.729,4,-3.434,0,0.0883,0.167,1.39e-06,0.349,0.467,113.013,4
Top Tracks of 2020,The Global Top Tracks of 2020. Cover: The Weeknd,0t1kP63rueHleOhQkYSXFY,Dynamite,519279843,Dynamite (DayTime Version),BTS,3Nrfpe0tUJi4K4DXYWgMUX,94,k-pop,k-pop boy group,,26200003,0,199054,0.746,0.765,6,-4.41,0,0.0993,0.0112,0.0,0.0936,0.737,114.044,4
Top Tracks of 2020,The Global Top Tracks of 2020. Cover: The Weeknd,3GZoWLVbmxcBys6g0DLFLf,Supalonely (feat. Gus Dapperton),475537409,Hey u x,"BENEE, Gus Dapperton",0Cp8WN4V8Tu4QJQwCN5Md4,63,nz pop,pop,,532135,1,223488,0.862,0.631,7,-4.746,1,0.0515,0.291,0.000209,0.123,0.841,128.978,4
Top Tracks of 2020,The Global Top Tracks of 2020. Cover: The Weeknd,62aP9fBQKYKxi7PDXwcUAS,ily (i love you baby) (feat. Emilee),474462784,ily (i love you baby) (feat. Emilee),"Surf Mesa, Emilee",1lmU3giNF3CSbkVSQmLpHQ,88,tropical house,,,105741,0,176547,0.674,0.774,11,-7.567,0,0.0892,0.0686,0.00188,0.393,0.33,112.05,4
Top Tracks of 2020,The Global Top Tracks of 2020. Cover: The Weeknd,7ju97lgwC2rKQ6wwsf9no9,Rain On Me (with Ariana Grande),467375493,Chromatica,"Lady Gaga, Ariana Grande",1HY2Jd0NmPuamShAr6KMms,82,dance pop,pop,pop dance,15029042,0,182200,0.672,0.855,9,-3.764,1,0.0397,0.021,0.0,0.323,0.646,123.056,4
Top Tracks of 2020,The Global Top Tracks of 2020. Cover: The Weeknd,3eekarcy7kvN4yt5ZFzltW,HIGHEST IN THE ROOM,789747737,HIGHEST IN THE ROOM,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,89,rap,,,14038292,1,175721,0.598,0.427,7,-8.764,0,0.0317,0.0546,5.83e-06,0.21,0.0605,76.469,4
Top Tracks of 2020,The Global Top Tracks of 2020. Cover: The Weeknd,0RiRZpuVRbi7oqRdSMwhQY,Sunflower - Spider-Man: Into the Spider-Verse,1746582072,Hollywood's Bleeding,"Post Malone, Swae Lee",246dkjvS1zLTtiykXe5h60,83,dfw rap,melodic rap,rap,29871741,0,157560,0.755,0.522,2,-4.368,1,0.0575,0.533,0.0,0.0685,0.925,89.96,4
Top Tracks of 2020,The Global Top Tracks of 2020. Cover: The Weeknd,1yoMvmasuxZfqHEipJhRbp,Hawái,471322627,PAPI JUANCHO,Maluma,1r4hJ1h58CWwUQe3MxPuau,89,reggaeton,reggaeton colombiano,,22330779,0,199112,0.783,0.727,6,-3.454,0,0.389,0.185,2.46e-05,0.0626,0.558,180.067,4
Top Tracks of 2020,The Global Top Tracks of 2020. Cover: The Weeknd,2tnVG71enUj33Ic2nFN6kZ,Ride It,693398553,Ride It,Regard,4ofCBoyEiGSePFAG500xev,87,edm,pop dance,pop edm,109874,0,157606,0.88,0.751,7,-4.258,0,0.0874,0.177,6.43e-05,0.106,0.884,117.948,4
Top Tracks of 2020,The Global Top Tracks of 2020. Cover: The Weeknd,6gBFPUFcJLzWGx4lenP6h2,goosebumps,1266192245,Birds In The Trap Sing McKnight,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,89,rap,,,14038292,1,243837,0.841,0.728,7,-3.37,1,0.0484,0.0847,0.0,0.149,0.43,130.049,4
Top Tracks of 2020,The Global Top Tracks of 2020. Cover: The Weeknd,4NCsrTzgVfsDo8nWyP8PPc,RITMO (Bad Boys For Life),634392115,Translation,"Black Eyed Peas, J Balvin",1yxSLGMDHlW21z4YXirZDS,49,dance pop,pop,pop dance,5038132,1,214935,0.723,0.704,10,-7.088,0,0.0571,0.0259,0.00109,0.792,0.684,105.095,4
Top Tracks of 2020,The Global Top Tracks of 2020. Cover: The Weeknd,39Yp9wwQiSRIDOvrVg7mbk,THE SCOTTS,417131253,THE SCOTTS,"THE SCOTTS, Travis Scott, Kid Cudi",2PaZWGu5T5nHjY2xxAkFsT,85,rap,,,163465,1,165978,0.716,0.537,0,-7.648,0,0.0514,0.233,0.0,0.157,0.28,129.979,4
