playlist,description,track_id,title,release,plays,album,artist1,artist2,artist3,artist_id,popularity_track,genre1,genre2,genre3,artist_followers,explicit,duration,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Today's Top Hits,Ariana Grande is on top of the Hottest 50!,31qCy5ZaophVA81wtlwLc4,Anyone,2021-01-01,29867426,Anyone,Justin Bieber,,,1uNFoZAHBGtllmzznpCI3s,90,canadian pop,pop,post-teen pop,41222799,0,190779,0.686,0.538,2,-8.026,1,0.0345,0.181,3.13e-06,0.113,0.584,115.884,4
Today's Top Hits,Ariana Grande is on top of the Hottest 50!,6Im9k8u9iIzKMrmV7BWtlF,34+35,2020-10-30,207735924,Positions,Ariana Grande,,,66CXWjxzNUsdJxJ2JdwvnR,97,dance pop,pop,post-teen pop,55807542,1,173711,0.83,0.585,0,-6.476,1,0.094,0.237,0.0,0.248,0.485,109.978,4
Today's Top Hits,Ariana Grande is on top of the Hottest 50!,463CkQjx2Zk1yXoBuierM9,Levitating (feat. DaBaby),2020-10-01,179881862,Levitating (feat. DaBaby),Dua Lipa,DaBaby,,6M2wZ9GZgrQXHCFfjv46we,92,dance pop,pop,pop dance,21976970,0,203064,0.702,0.825,6,-3.787,0,0.0601,0.00883,0.0,0.0674,0.915,102.977,4
Today's Top Hits,Ariana Grande is on top of the Hottest 50!,27OeeYzk6klgBh83TSvGMA,WITHOUT YOU,2020-11-06,108519943,F*CK LOVE (SAVAGE),The Kid LAROI,,,2tIP7SsRs7vjIcLrU85W8J,95,australian hip hop,,,1118444,1,161385,0.662,0.413,0,-7.357,1,0.0299,0.213,0.0,0.134,0.467,93.005,4
Today's Top Hits,Ariana Grande is on top of the Hottest 50!,20McUFi8KCIVdNDLrkTDuZ,Goosebumps,2020-06-12,115988971,Goosebumps,HVME,,,2o08sCWF5yyo2G4DCiT7T9,92,,,,15417,1,163208,0.767,0.659,1,-7.429,1,0.0444,0.325,0.0,0.13,0.439,124.946,4
Today's Top Hits,Ariana Grande is on top of the Hottest 50!,54bFM56PmE4YLRnqpW6Tha,Therefore I Am,2020-11-12,195721805,Therefore I Am,Billie Eilish,,,6qqNVTkY8uBg9cP3Jd7DAH,97,electropop,pop,,37710896,0,174321,0.889,0.34,11,-7.773,0,0.0697,0.218,0.13,0.055,0.716,94.009,4
Today's Top Hits,Ariana Grande is on top of the Hottest 50!,6zFMeegAMYQo0mt8rXtrli,HOLIDAY,2020-11-13,126024879,HOLIDAY,Lil Nas X,,,7jVv8c5Fj3E9VhNjxT4snq,95,country rap,lgbtq+ hip hop,pop rap,3918045,1,154998,0.81,0.511,5,-6.924,0,0.164,0.12,0.0,0.0832,0.837,151.947,4
Today's Top Hits,Ariana Grande is on top of the Hottest 50!,2Z8yfpFX0ZMavHkcIeHiO1,Monster (Shawn Mendes & Justin Bieber),2020-11-20,146591945,Monster,Shawn Mendes,Justin Bieber,,7n2wHs1TKAczGzO7Dd2rGr,94,canadian pop,dance pop,pop,30819118,0,178994,0.652,0.383,2,-7.076,0,0.0516,0.0676,0.0,0.0828,0.549,145.765,4
Today's Top Hits,Ariana Grande is on top of the Hottest 50!,3YJJjQPAbDT7mGpX3WtQ9A,Good Days,2020-12-25,26557186,Good Days,SZA,,,7tYKF4w9nC0nq9CsPZTHyP,88,pop,pop rap,rap,4214239,1,279204,0.436,0.655,1,-8.37,0,0.0583,0.499,8.1e-06,0.688,0.412,121.002,4
Today's Top Hits,Ariana Grande is on top of the Hottest 50!,1RSzyxqtIO4yX3EyiV4zT5,Whoopty,2020-08-20,158983860,Whoopty,CJ,,,7arQA31aZVS8yS6zUveWzb,68,,,,57629,1,123480,0.714,0.609,3,-7.683,0,0.17,0.194,0.0,0.126,0.778,140.206,4
Today's Top Hits,Ariana Grande is on top of the Hottest 50!,7igeByaBM0MgGsgXtNxDJ7,positions,2020-10-23,364191781,positions,Ariana Grande,,,66CXWjxzNUsdJxJ2JdwvnR,74,dance pop,pop,post-teen pop,55807542,1,172325,0.736,0.802,0,-4.759,1,0.0864,0.468,0.0,0.094,0.675,144.005,4
Today's Top Hits,Ariana Grande is on top of the Hottest 50!,7lPN2DXiMsVn7XUKtOW1CS,drivers license,2021-01-08,8303351,drivers license,Olivia Rodrigo,,,1McMsnEElThX1knmY4oliG,72,pop,post-teen pop,social media pop,343822,1,242014,0.585,0.436,10,-8.761,1,0.0601,0.721,1.31e-05,0.105,0.132,143.874,4
Today's Top Hits,Ariana Grande is on top of the Hottest 50!,0lx2cLdOt3piJbcaXIV74f,willow,2020-12-11,84920995,evermore,Taylor Swift,,,06HL4z0CvFAxyc27GXpf02,93,dance pop,pop,,35481046,0,214707,0.392,0.574,7,-9.195,1,0.17,0.833,0.00179,0.145,0.529,81.112,4
Today's Top Hits,Ariana Grande is on top of the Hottest 50!,5QO79kh1waicV47BqGRL3g,Save Your Tears,2020-03-20,138307734,After Hours,The Weeknd,,,1Xyo4u8uXC1ZmMpatF05PJ,84,canadian contemporary r&b,canadian pop,pop,27448629,1,215627,0.68,0.826,0,-5.487,1,0.0309,0.0212,1.24e-05,0.543,0.644,118.051,4
Today's Top Hits,Ariana Grande is on top of the Hottest 50!,0E4Y1XIbs8GrAT1YqVy6dq,Afterglow,2020-12-21,43734807,Afterglow,Ed Sheeran,,,6eUKZXaKkcviH0Ku9w2n3V,92,pop,uk pop,,74512339,0,185487,0.641,0.324,11,-5.851,1,0.0299,0.698,0.0,0.328,0.273,110.184,4
Today's Top Hits,Ariana Grande is on top of the Hottest 50!,6ft4hAq6yde8jPZY2i5zLr,Paradise (feat. Dermot Kennedy),2020-10-30,87618459,Paradise,MEDUZA,Dermot Kennedy,,0xRXCcSX89eobfrshSVdyu,92,edm,pop dance,pop house,359692,0,167903,0.632,0.595,8,-7.644,0,0.0401,0.0689,0.0,0.209,0.435,124.114,4
Today's Top Hits,Ariana Grande is on top of the Hottest 50!,5JqZ3oqF00jkT81foAFvqg,Prisoner (feat. Dua Lipa),2020-11-20,116126824,Prisoner (feat. Dua Lipa),Miley Cyrus,Dua Lipa,,5YGY8feqx7naU7z4HrwZM6,92,dance pop,pop,pop dance,13767139,0,169333,0.781,0.67,3,-3.912,0,0.0452,0.0103,0.0,0.0761,0.595,127.99,4
Today's Top Hits,Ariana Grande is on top of the Hottest 50!,3tjFYV6RSFtuktYl3ZtYcq,Mood (feat. iann dior),2020-07-24,703936141,Mood (feat. iann dior),24kGoldn,iann dior,,6fWVd57NKTalqvmjRd2t8Z,100,cali rap,,,668595,1,140526,0.7,0.722,7,-3.558,0,0.0369,0.221,0.0,0.272,0.756,90.989,4
Today's Top Hits,Ariana Grande is on top of the Hottest 50!,1tkg4EHVoqnhR6iFEXb60y,What You Know Bout Love,2020-07-03,357547044,Shoot For The Stars Aim For The Moon,Pop Smoke,,,0eDvMgVFoNV3TpwtrVCoTj,96,brooklyn drill,,,3476796,1,160000,0.709,0.548,10,-8.493,1,0.353,0.65,1.59e-06,0.133,0.543,83.995,4
Today's Top Hits,Ariana Grande is on top of the Hottest 50!,47EiUVwUp4C9fGccaPuUCS,Dakiti,2020-10-30,nan,Dakiti,Bad Bunny,Jhay Cortez,,4q3ewBCX7sLwd24euuV69X,99,latin,reggaeton,trap latino,28617562,1,205090,0.731,0.573,4,-10.059,0,0.0544,0.401,5.22e-05,0.113,0.145,109.928,4
Today's Top Hits,Ariana Grande is on top of the Hottest 50!,6f3Slt0GbA2bPZlz0aIFXN,The Business,2020-09-16,114912892,The Business,Tiësto,,,2o5jDhtHVPhrJdv3cEQ99Z,93,big room,brostep,dance pop,5296865,0,164000,0.798,0.62,8,-7.079,0,0.232,0.414,0.0192,0.112,0.235,120.031,4
Today's Top Hits,Ariana Grande is on top of the Hottest 50!,3USxtqRwSYz57Ewm6wWRMp,Heat Waves,2020-08-07,90582976,Dreamland,Glass Animals,,,4yvcSjfu4PC0CYQyLy4wSq,81,gauze pop,indietronica,shiver pop,1440921,0,238805,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,4
Today's Top Hits,Ariana Grande is on top of the Hottest 50!,4y4spB9m0Q6026KfkAvy9Q,Lonely (with benny blanco),2020-10-16,242300096,Lonely (with benny blanco),Justin Bieber,benny blanco,,1uNFoZAHBGtllmzznpCI3s,95,canadian pop,pop,post-teen pop,41222799,1,149297,0.631,0.239,11,-7.071,0,0.0398,0.864,0.0,0.116,0.0927,79.859,4
Today's Top Hits,Ariana Grande is on top of the Hottest 50!,45bE4HXI0AwGZXfZtMp8JR,you broke me first,2020-04-17,410404178,you broke me first,Tate McRae,,,45dkTj5sMRSjrmBSBeiHym,95,dance pop,electropop,pop,1063090,0,169266,0.642,0.374,4,-9.386,1,0.0545,0.786,0.0,0.0906,0.0799,124.099,4
Today's Top Hits,Ariana Grande is on top of the Hottest 50!,2vBET2pmrQqafaS6zIaYta,GIRL LIKE ME,2020-06-18,47314692,Translation,Black Eyed Peas,Shakira,,1yxSLGMDHlW21z4YXirZDS,71,dance pop,pop,pop dance,5169564,1,220659,0.964,0.486,2,-8.891,1,0.188,0.0194,0.04,0.0694,0.318,124.058,4
Today's Top Hits,Ariana Grande is on top of the Hottest 50!,7vrJn5hDSXRmdXoR30KgF1,BICHOTA,2020-10-23,213607414,BICHOTA,KAROL G,,,790FomKkXshlbRYZFtlgla,98,latin,reggaeton,reggaeton colombiano,14132716,1,178947,0.863,0.666,1,-4.158,0,0.152,0.212,0.000493,0.103,0.838,163.908,4
Today's Top Hits,Ariana Grande is on top of the Hottest 50!,02kDW379Yfd5PzW5A6vuGt,Lemonade,2020-08-14,499991879,"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money,Gunna,Don Toliver,6MPCFvOQv5cIGfw3jODMF0,93,pop rap,rap,trap,201098,1,195429,0.799,0.66,1,-6.153,0,0.079,0.256,0.0,0.111,0.471,140.04,4
Today's Top Hits,Ariana Grande is on top of the Hottest 50!,6AGOKlMZWLCaEJGnaROtF9,Put Your Records On,2020-04-24,209591970,Put Your Records On,Ritt Momney,,,7MPGCB854Qo4alYMOPkBka,92,bedroom pop,,,76389,0,210463,0.399,0.491,6,-10.778,0,0.0538,0.0563,0.00089,0.11,0.151,91.066,4
Today's Top Hits,Ariana Grande is on top of the Hottest 50!,0ri0Han4IRJhzvERHOZTMr,At My Worst,2020-07-17,85854233,The Prelude,Pink Sweat$,,,1W7FNibLa0O0b572tB2w7t,88,bedroom soul,pop,,489473,0,170345,0.813,0.415,0,-5.926,1,0.0349,0.777,0.0,0.131,0.667,91.921,4
Today's Top Hits,Ariana Grande is on top of the Hottest 50!,5YSHygGN9D0mID1NsVd5my,Reminds Me Of You,2020-12-08,42487200,Reminds Me Of You,Juice WRLD,The Kid LAROI,,4MCBfE4596Uoi2O4DtmEMz,90,chicago rap,melodic rap,,14784255,1,158033,0.613,0.631,4,-6.965,1,0.12,0.0663,0.0,0.169,0.33,149.992,4
Today's Top Hits,Ariana Grande is on top of the Hottest 50!,6HlE9t71z9DjGi7KqSyEpA,Deep End,2020-07-31,106687486,Deep End,Fousheé,,,6trIghKwHRUyxwvm66HLHH,89,,,,72550,1,141224,0.711,0.592,4,-7.136,0,0.23,0.758,0.0,0.156,0.535,124.749,4
