playlist,description,track_id,title,plays,album,artist1,artist2,artist3,artist_id,popularity_track,genre1,genre2,genre3,artist_followers,explicit,duration,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Mega Hits 2020 - Die Hits des Jahres,"Die größten Hits und Banger des Jahres 2020 in einer Playlist! Bock auf Mega <a href=""https://www.weihnachtsplaylist.de/?utm_source=spotify&utm_medium=playlistslink&utm_campaign=megahits"">Weihnachts-Hits?</a> 🎅🎄",0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,1763233948,After Hours,The Weeknd,,,1Xyo4u8uXC1ZmMpatF05PJ,97,canadian contemporary r&b,canadian pop,pop,26750673,0,200040,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,4
Mega Hits 2020 - Die Hits des Jahres,"Die größten Hits und Banger des Jahres 2020 in einer Playlist! Bock auf Mega <a href=""https://www.weihnachtsplaylist.de/?utm_source=spotify&utm_medium=playlistslink&utm_campaign=megahits"">Weihnachts-Hits?</a> 🎅🎄",3H7ihDc1dqLriiWXwsc2po,Breaking Me,582206047,Breaking Me,Topic,A7S,,0u6GtibW46tFX7koQ6uNJZ,91,dance pop,edm,german dance,113929,0,166794,0.789,0.72,8,-5.652,0,0.218,0.223,0.0,0.129,0.664,122.031,4
Mega Hits 2020 - Die Hits des Jahres,"Die größten Hits und Banger des Jahres 2020 in einer Playlist! Bock auf Mega <a href=""https://www.weihnachtsplaylist.de/?utm_source=spotify&utm_medium=playlistslink&utm_campaign=megahits"">Weihnachts-Hits?</a> 🎅🎄",51Of5p3lKZeOg6itfs4og4,Lovefool,108403408,Lovefool,twocolors,,,7ACEUD7UsmmXrnj4OLt8f9,84,pop edm,,,21954,0,190488,0.677,0.766,6,-6.896,1,0.0568,0.0219,6.81e-06,0.129,0.198,123.062,4
Mega Hits 2020 - Die Hits des Jahres,"Die größten Hits und Banger des Jahres 2020 in einer Playlist! Bock auf Mega <a href=""https://www.weihnachtsplaylist.de/?utm_source=spotify&utm_medium=playlistslink&utm_campaign=megahits"">Weihnachts-Hits?</a> 🎅🎄",7ytR5pFWmSjzHJIeQkgog4,ROCKSTAR (feat. Roddy Ricch),912816252,BLAME IT ON BABY,DaBaby,Roddy Ricch,,4r63FhuTkUYltbVAg5TQnk,94,north carolina hip hop,rap,,5185479,1,181733,0.746,0.69,11,-7.956,1,0.164,0.247,0.0,0.101,0.497,89.977,4
Mega Hits 2020 - Die Hits des Jahres,"Die größten Hits und Banger des Jahres 2020 in einer Playlist! Bock auf Mega <a href=""https://www.weihnachtsplaylist.de/?utm_source=spotify&utm_medium=playlistslink&utm_campaign=megahits"">Weihnachts-Hits?</a> 🎅🎄",4nK5YrxbMGZstTLbvj6Gxw,Supalonely,478258837,STELLA & STEVE,BENEE,Gus Dapperton,,0Cp8WN4V8Tu4QJQwCN5Md4,84,nz pop,pop,,535320,1,223480,0.863,0.631,7,-4.689,1,0.0534,0.305,3.04e-05,0.123,0.817,128.977,4
Mega Hits 2020 - Die Hits des Jahres,"Die größten Hits und Banger des Jahres 2020 in einer Playlist! Bock auf Mega <a href=""https://www.weihnachtsplaylist.de/?utm_source=spotify&utm_medium=playlistslink&utm_campaign=megahits"">Weihnachts-Hits?</a> 🎅🎄",0l4AReW2LuX0yStPfgQgSR,Giants,78404814,Giants,Dermot Kennedy,,,5KNNVgR6LBIABRIomyCwKJ,81,folk-pop,irish pop,pop,797628,0,177173,0.579,0.839,8,-5.409,0,0.0703,0.0145,3.04e-05,0.201,0.589,158.141,4
Mega Hits 2020 - Die Hits des Jahres,"Die größten Hits und Banger des Jahres 2020 in einer Playlist! Bock auf Mega <a href=""https://www.weihnachtsplaylist.de/?utm_source=spotify&utm_medium=playlistslink&utm_campaign=megahits"">Weihnachts-Hits?</a> 🎅🎄",2mt1IqcFyY1zmYZT8Q3xw9,hot girl bummer,682830204,everything means nothing,blackbear,,,2cFrymmkijnjDg9SS92EPM,87,electropop,pop,pop rap,3776009,1,188344,0.782,0.559,6,-7.106,0,0.0767,0.125,0.0,0.385,0.685,129.992,1
Mega Hits 2020 - Die Hits des Jahres,"Die größten Hits und Banger des Jahres 2020 in einer Playlist! Bock auf Mega <a href=""https://www.weihnachtsplaylist.de/?utm_source=spotify&utm_medium=playlistslink&utm_campaign=megahits"">Weihnachts-Hits?</a> 🎅🎄",1Cv1YLb4q0RzL6pybtaMLo,Sunday Best,567483247,Where the Light Is,Surfaces,,,4ETSs924pXMzjIeD6E9b4u,86,bedroom soul,pop,,630258,0,158571,0.878,0.525,5,-6.832,1,0.0578,0.183,0.0,0.0714,0.694,112.022,4
Mega Hits 2020 - Die Hits des Jahres,"Die größten Hits und Banger des Jahres 2020 in einer Playlist! Bock auf Mega <a href=""https://www.weihnachtsplaylist.de/?utm_source=spotify&utm_medium=playlistslink&utm_campaign=megahits"">Weihnachts-Hits?</a> 🎅🎄",2CfWHcw3H18SdyX4PcwJV2,Watershed,18951610,ROOKERY,Giant Rooks,,,5wD0owYApRtYmjPWavWKvb,66,german indie,german pop,german rock,145037,0,218533,0.571,0.791,3,-5.04,0,0.0396,0.151,0.0,0.131,0.423,119.956,4
Mega Hits 2020 - Die Hits des Jahres,"Die größten Hits und Banger des Jahres 2020 in einer Playlist! Bock auf Mega <a href=""https://www.weihnachtsplaylist.de/?utm_source=spotify&utm_medium=playlistslink&utm_campaign=megahits"">Weihnachts-Hits?</a> 🎅🎄",4l0Mvzj72xxOpRrp6h8nHi,Lose You To Love Me,601107583,Rare,Selena Gomez,,,0C8ZW7ezQVs4URX5aX7Kqx,85,dance pop,pop,pop dance,23875186,0,206459,0.488,0.343,4,-8.985,1,0.0436,0.556,0.0,0.21,0.0978,102.819,4
