playlist,description,track_id,title,release,plays,album,artist1,artist2,artist3,artist_id,popularity_track,genre1,genre2,genre3,artist_followers,explicit,duration,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
All Out 00s,"The decade that catapulted electronic music, hip hop and indie rock into the mainstream.",5zF2zGPkL6Ipsn9AfAK6RP,This Love,2002-06-25,475124326,Songs About Jane,Maroon 5,,,04gDigrS5kc9YWfZHwBETP,1,pop,pop rock,,28760240,0,206200,0.714,0.868,5,-4.596,0,0.0363,0.0551,0.0,0.0987,0.78,95.05,4
All Out 00s,"The decade that catapulted electronic music, hip hop and indie rock into the mainstream.",6jBUP2KCe821yqf1hiBqPR,Broken Strings,2008-01-01,205601849,"Songs For You, Truths For Me (International Exclusive Bundle)",James Morrison,Nelly Furtado,,3LpLGlgRS1IKPPwElnpW35,73,neo mellow,neo soul,pop,1304695,0,250453,0.57,0.717,1,-4.914,1,0.029,0.00967,0.0,0.0833,0.321,111.91,4
All Out 00s,"The decade that catapulted electronic music, hip hop and indie rock into the mainstream.",5vQXxfGn1bjv5WESrYVVpw,Just Dance,2008-01-01,346032378,Just Dance,Lady Gaga,Colby O'Donis,,1HY2Jd0NmPuamShAr6KMms,66,dance pop,pop,pop dance,15528580,0,244440,0.821,0.741,1,-4.57,0,0.0313,0.0278,2.51e-05,0.19,0.741,118.984,4
All Out 00s,"The decade that catapulted electronic music, hip hop and indie rock into the mainstream.",1oagRT7LfpVlNJN6FSZDGp,"This Ain't A Scene, It's An Arms Race",2007-01-01,nan,Infinity On High,Fall Out Boy,,,4UXqAaa6dQYAk18Lv7PEgX,69,emo,modern rock,pop punk,8476699,0,212040,0.435,0.887,9,-4.07,1,0.0636,0.000747,0.0,0.0327,0.408,199.935,4
All Out 00s,"The decade that catapulted electronic music, hip hop and indie rock into the mainstream.",3ZFTkvIE7kyPt6Nu3PEa7V,Hips Don't Lie (feat. Wyclef Jean),2005-11-28,713015342,"Oral Fixation, Vol. 2 (Expanded Edition)",Shakira,Wyclef Jean,,0EmeFodog0BfCgMzAIvKQp,85,colombian pop,dance pop,latin,20559087,0,218093,0.778,0.824,10,-5.892,0,0.0712,0.284,0.0,0.405,0.756,100.024,4
All Out 00s,"The decade that catapulted electronic music, hip hop and indie rock into the mainstream.",2PkeVPcL32LA96cK5ySC3c,Yeah!,2004-02-09,571590421,Yeah!,Usher,Lil Jon,Ludacris,23zg3TcAtWQy7J6upgbUnj,1,atl hip hop,dance pop,pop,8338601,0,250067,0.895,0.795,2,-4.693,1,0.0977,0.0219,0.0,0.0403,0.574,105.004,4
All Out 00s,"The decade that catapulted electronic music, hip hop and indie rock into the mainstream.",4TsmezEQVSZNNPv5RJ65Ov,Pon de Replay,2005-08-29,291669744,Music Of The Sun,Rihanna,,,5pKCCKE2ajJHZ9KAiaK11H,80,barbadian pop,dance pop,pop,40594658,0,246960,0.779,0.64,7,-8.415,1,0.159,0.000155,0.00077,0.101,0.498,99.019,4
All Out 00s,"The decade that catapulted electronic music, hip hop and indie rock into the mainstream.",1lkvpmrCaXK8QtliFDcHBO,Bubbly,2007-01-01,331241935,Coco,Colbie Caillat,,,6aZyMrc4doVtZyKNilOmwu,76,acoustic pop,dance pop,neo mellow,2012413,0,196227,0.688,0.477,9,-6.684,1,0.036,0.594,0.0,0.115,0.257,127.866,4
All Out 00s,"The decade that catapulted electronic music, hip hop and indie rock into the mainstream.",7vseIfb8ooQmXzisuinchZ,Infinity 2008,2011-11-02,164512425,SLAM!FM Presents Clubbin' Best of 2008/2009,Guru Josh Project,,,4ME85YvMUi1hdqhbind7gy,7,acid house,,,48176,0,190013,0.493,0.849,7,-6.139,0,0.0576,0.000337,0.00672,0.355,0.483,127.999,4
All Out 00s,"The decade that catapulted electronic music, hip hop and indie rock into the mainstream.",4vp2J1l5RD4gMZwGFLfRAu,I Gotta Feeling,2009-01-01,541755785,THE E.N.D. (THE ENERGY NEVER DIES),Black Eyed Peas,,,1yxSLGMDHlW21z4YXirZDS,75,dance pop,pop,pop dance,5169564,0,289133,0.743,0.766,0,-6.375,1,0.0265,0.0873,0.0,0.509,0.61,127.96,4
All Out 00s,"The decade that catapulted electronic music, hip hop and indie rock into the mainstream.",5R9a4t5t5O0IsznsrKPVro,Single Ladies (Put a Ring on It),2008-11-17,nan,I AM...SASHA FIERCE,Beyoncé,,,6vWDO969PvNqNYHIOW5v0m,71,dance pop,pop,pop dance,25684354,0,193213,0.426,0.584,1,-5.293,1,0.296,0.0383,0.0,0.188,0.272,193.437,4
All Out 00s,"The decade that catapulted electronic music, hip hop and indie rock into the mainstream.",395C2pn0PdOYPzM4B1jLoO,Sex on Fire,2008-08-11,662364487,Sex on Fire,Kings of Leon,,,2qk9voo8llSGYcZ6xrBzKx,0,modern rock,rock,,4526116,0,204587,0.544,0.903,9,-5.651,1,0.0545,0.00166,0.00632,0.1,0.432,153.629,4
All Out 00s,"The decade that catapulted electronic music, hip hop and indie rock into the mainstream.",3F9ByoUqu31xU0I3G5xfVg,Meet Me Halfway,2009-01-01,181098851,THE E.N.D. (THE ENERGY NEVER DIES) [Deluxe Version],Black Eyed Peas,,,1yxSLGMDHlW21z4YXirZDS,73,dance pop,pop,pop dance,5169564,0,284373,0.798,0.629,11,-6.857,0,0.0735,0.00474,2.17e-05,0.324,0.4,130.0,4
All Out 00s,"The decade that catapulted electronic music, hip hop and indie rock into the mainstream.",6naxalmIoLFWR0siv8dnQQ,Oops!...I Did It Again,2000-05-16,345457667,Oops!... I Did It Again,Britney Spears,,,26dSoYclwsYLMAKD3tpOr4,80,dance pop,pop,pop dance,8307629,0,211160,0.751,0.834,1,-5.444,0,0.0437,0.3,1.77e-05,0.355,0.894,95.053,4
All Out 00s,"The decade that catapulted electronic music, hip hop and indie rock into the mainstream.",1ZCCVA90RcBOyiPPJPoNd6,Red,2009-06-01,26022096,Love & War,Daniel Merriweather,,,6HD2mo0Gz8wd8IbOXYwUfN,56,australian pop,,,32958,0,233213,0.422,0.67,4,-5.955,1,0.0292,0.107,0.0,0.11,0.119,95.797,4
